05d01h07m:66,25,c-169,10m3,22h
05d01h30m:61,30,c-88,1m3,16h
05d01h52m:35,36,c-92,1m3,9h
05d02h14m:61,11,c-32,3m3,9h
05d02h36m:43,13,c-161,2m3,36h
05d02h59m:55,32,c-37,3m3,5h
05d03h21m:8,46,c-13,2m3,11h
05d03h43m:69,46,c-72,7m3,4h
05d04h06m:52,42,c-198,4m3,12h
05d04h28m:59,12,c-135,5m3,12h
05d04h50m:67,20,c-192,2m3,11h
05d05h12m:30,2,c-172,6m3,4h
05d05h35m:62,48,c-12,12m3,5h
05d05h57m:68,30,c-128,3m3,16h
05d06h19m:28,20,c-141,1m3,12h
05d06h42m:46,22,c-62,3m3,12h
05d07h04m:41,28,c-60,2m3,15h
05d07h26m:45,35,c-151,3m3,12h
05d07h48m:32,0,c-141,1m3,10h
